epoch,train_loss,val_loss,val_acc
1,1.824283198846711,1.0907921036084494,69.26286509040334
2,0.769428037934833,0.7816077636347877,77.8164116828929
3,0.433964593294594,0.6739070938693152,80.25034770514604
4,0.25974324295918144,0.6270786126454672,82.05841446453408
5,0.1491517784901791,0.5984619458516439,82.05841446453408
6,0.08852867024640242,0.5843687070740594,82.89290681502086
7,0.055191540904343125,0.5866049024793837,82.68428372739916
8,0.04348922859256466,0.6014591601159838,82.5452016689847
9,0.02938330841716379,0.5971447808874978,82.75382475660639
10,0.02654096152788649,0.5980428400966856,82.61474269819193
11,0.02145718914560146,0.5974837836292055,82.75382475660639
