epoch,train_loss,val_loss,val_acc
1,2.26996028025945,1.5838083028793335,58.55354659248957
2,1.382420434223281,1.2501734919018215,65.22948539638386
3,1.0682259834474988,1.1082082562976414,70.09735744089012
4,0.8848588653736644,1.0216102931234572,71.90542420027816
5,0.7695657240019904,0.9598024182849461,73.29624478442281
6,0.6388351366751723,0.9396730098459456,73.7134909596662
7,0.5605271505812804,0.9005986697143978,74.82614742698192
8,0.49399977674086887,0.8806139747301738,75.03477051460362
9,0.4359370868239138,0.8676693101723989,76.0778859527121
10,0.38942669745948577,0.8492267019218869,76.14742698191934
11,0.3386719071202808,0.8587470796373156,75.73018080667593
12,0.3183248424695598,0.8418571008576288,76.56467315716273
13,0.2787785828527477,0.8327061057090759,77.32962447844228
14,0.23885520319971773,0.8390902307298448,76.91237830319889
15,0.2324595318072372,0.8518757833374871,75.93880389429764
16,0.19311069858570892,0.8376465751065149,76.84283727399165
17,0.18156108181509706,0.8494894974761539,77.39916550764951
18,0.1764612709896432,0.8247240801652272,77.67732962447845
19,0.1738585800346401,0.8333340856764052,76.98191933240612
20,0.16390717917432387,0.838555920124054,77.32962447844228
